ids,latitude,longitude
p099369,-7.23417,-39.409439
p108654,-9.0666704,-38.01667
p114204,-5.0380602,-42.459999
p116170,-23.547501,-46.636108
p118410,-22.27556,-54.165001
p120391,-22.902781,-43.2075
p125630,-22.643061,-43.653332
p099369,-7.0422201,-39.283611
p099369,-7.31111,-39.304169
p099369,-7.2130599,-39.315281
p099369,-3.7172201,-38.54306
p104995,-23.960831,-46.333611
p108654,-7.8747201,-35.450279
p108654,-8.00667,-36.056671
p108654,-8.1180601,-35.291389
p108654,-7.8966699,-35.179722
p111512,-32.035,-52.09861
p111996,-22.902781,-43.2075
p114204,-9.7524996,-36.66111
p114204,-10.12778,-36.900558
p114204,-10.43889,-62.466389
p114204,-7.8538899,-41.910278
p114204,-9.6658297,-35.735279
p114204,-10.29444,-63.325279
p114204,-8.9724998,-35.939442
p114204,-11.69639,-61.99472
p114204,-8.80972,-63.69556
p114204,-4.4247198,-41.458611
p114204,-9.0883303,-35.258331
p114204,-4.25389,-41.270279
p114204,-4.5588899,-41.972221
p114204,-4.2733302,-41.776939
p114204,-11.14056,-62.360828
p114204,-10.1497,-67.737411
p114204,-9.4783297,-35.853329
p114204,-4.8277798,-42.16861
p114204,-10.44778,-62.134171
p114204,-9.07444,-44.358608
p114204,-9.15833,-35.294998
p114204,-12.12806,-61.850559
p114204,-9.5361099,-37.293892
p114204,-12.19611,-61.601391
p114204,-8.1653996,-70.354858
p114204,-9.1627798,-36.03194
p114204,-6.2312198,-42.686909
p114204,-11.79806,-63.031109
p114204,-4.7563901,-42.575562
p114204,-9.2213898,-37.748611
p114204,-6.97333,-42.67194
p114204,-8.84167,-35.459999
p114204,-7.0769401,-41.466942
p114204,-10.94139,-69.56694
p114204,-10.40194,-65.326668
p114204,-13.49778,-60.554169
p114204,-8.9411097,-72.791672
p114204,-10.88528,-61.951672
p114204,-9.97472,-67.809998
p114204,-7.7416701,-72.636108
p114204,-9.7811098,-36.093609
p114204,-6.96667,-41.700001
p114204,-10.57278,-67.67556
p114204,-2.9047201,-41.776669
p114204,-11.4175,-61.93861
p114204,-10.33528,-67.185562
p114204,-4.2444401,-42.294441
p114204,-7.02528,-42.131111
p114204,-9.9252796,-36.47583
p114204,-13.18889,-60.812222
p114204,-11.96806,-61.95417
p114204,-10.59694,-63.612221
p114204,-11.69361,-62.711391
p114204,-9.3627796,-62.585281
p114204,-10.78278,-65.339439
p114204,-7.6141701,-72.895828
p114204,-8.3580599,-42.24667
p114204,-9.4650002,-35.55167
p114204,-3.7158301,-42.555561
p114204,-9.0450001,-35.398331
p114204,-6.4074998,-41.74556
p114204,-4.4566698,-41.942501
p114204,-8.1613903,-70.765556
p114204,-11.17528,-61.90139
p114204,-10.65167,-68.50444
p114204,-5.3499999,-42.849998
p114204,-9.63556,-37.20472
p114204,-9.9133301,-63.040829
p114204,-10.9175,-62.249439
p114204,-8.76194,-63.903889
p114204,-9.7102804,-35.895
p114204,-9.4341698,-71.883888
p114204,-9.7228403,-63.310219
p114204,-9.5322199,-36.985001
p114204,-8.2333298,-63.366669
p114204,2.81972,-60.673328
p114204,-3.1019399,-60.025002
p114204,-9.6666698,-62.349998
p114204,-5.92944,-42.718609
p114204,-11.34139,-62.286388
p114204,-9.3183298,-35.561111
p114204,-11.01611,-68.748062
p114204,-6.9594402,-41.641109
p114204,-7.2294402,-44.55611
p114204,-7.5988898,-40.81778
p114204,-8.84583,-35.568062
p114204,-6.7669401,-43.022499
p114204,-12.55222,-60.899719
p114204,-2.8791699,-41.666939
p114204,-11.07417,-61.516941
p114204,-9.8277798,-66.883331
p114204,-9.3783302,-37.245281
p114204,-5.89222,-42.636108
p114204,-9.4438896,-61.981392
p114204,-11.02972,-62.674999
p114204,-11.9025,-61.50222
p114204,-12.96194,-60.886669
p114204,-11.71972,-62.31583
p114204,-13.11667,-60.541672
p114204,-11.80361,-61.803329
p114204,-5.8169398,-42.513062
p114204,-9.1516705,-35.533329
p114204,-9.8305597,-67.952217
p114204,-3.90167,-42.233608
p114204,-7.6275902,-72.677559
p114204,-9.4166698,-70.5
p114204,-3.4577799,-42.370281
p114204,-10.74806,-62.215832
p114204,-3.175,-41.86694
p114204,-10.525,-62.64389
p114204,-6.2019401,-42.140282
p114204,-10.44333,-45.16222
p114204,-9.3066702,-35.943329
p114204,-10.33917,-62.895279
p114204,-7.5583301,-45.242222
p114204,-9.93361,-36.554169
p114204,-8.26861,-72.743889
p114204,-9.8400002,-35.90778
p114204,-8.93472,-35.573608
p114204,-9.9052801,-36.352779
p114204,-7.8502798,-45.213612
p114204,-9.1333303,-35.748329
p114204,-13.41667,-61.116669
p114204,-9.0634098,-68.672447
p114204,-9.0122204,-35.2225
p114204,-10.40556,-36.434441
p114204,-9.7049999,-62.899719
p114204,-8.8388901,-69.25972
p114204,-9.5883303,-67.532501
p114204,-10.23889,-62.35833
p114204,-12.05222,-63.567501
p114204,-11.02889,-68.741386
p116170,-23.20657,-46.783199
p116170,-23.6,-46.633331
p118077,-20.819719,-49.37944
p118410,-19.531389,-54.043892
p118410,-22.15333,-53.771111
p118410,-20.448059,-52.878059
p118410,-18.79417,-52.62278
p118410,-22.205561,-54.65139
p118410,-21.255831,-52.036942
p118410,-22.05444,-54.07
p118410,-19.725559,-51.93
p118410,-19.113331,-51.734169
p118410,-23.065001,-54.190559
p118410,-22.30472,-53.815281
p118410,-22.1875,-52.717781
p118410,-22.38389,-53.59333
p118410,-22.29528,-53.271111
p118410,-22.23333,-53.34306
p120391,-27.59667,-48.549171
p120391,-3.1019399,-60.025002
p120391,-1.45583,-48.50444
p120391,-8.0538902,-34.881111
p120391,-5.7950001,-35.209438
p120391,-9.6658297,-35.735279
p120391,-20.319441,-40.33778
p120391,-2.5297201,-44.30278
p120391,-15.77972,-47.929722
p120391,-16.67861,-49.253891
p120391,-12.97111,-38.51083
p120391,-7.1149998,-34.86306
p120391,-3.7172201,-38.54306
p120391,-10.91111,-37.071671
p120391,-15.59611,-56.096668
p120391,-31.77194,-52.342499
p120391,-23.547501,-46.636108
p120391,-19.92083,-43.937778
p120391,-25.42778,-49.27306
p120391,-21.76417,-43.350281
p120391,-20.44278,-54.646389
p121495,-6.3859601,-47.521019
p121495,-5.6511102,-48.124439
p121495,-8.6506796,-48.849609
p121495,-7.1882901,-48.337051
p121495,-7.1911101,-48.207218
p121495,-8.7294397,-48.764721
p121495,-5.7175398,-48.145802
p125630,-22.854719,-43.38472
p125630,-22.683331,-43.23333
p125630,-22.76417,-43.399441
p125829,-23.73333,-46.73333
p125829,-23.7974,-46.605
